"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"2,3-dihydroxypyridine","NA","NA","NA","NA","NA","0"
"malic acid","Malic acid","HMDB0000156","222656","C00149","O[C@@H](CC(O)=O)C(O)=O","1"
"phenol","Phenol","HMDB0000228","996","C00146","OC1=CC=CC=C1","1"
"propylamine","1-Propylamine","HMDB0034006","7852",NA,"CCCN","1"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"parabanic acid","NA","NA","NA","NA","NA","0"
"lactic acid","Lactic acid","HMDB0000190","107689","C00186","C[C@H](O)C(O)=O","1"
"homocysteine","Homocysteine","HMDB0000742","91552","C00155","N[C@@H](CCS)C(O)=O","1"
"hypotaurine","Hypotaurine","HMDB0000965","107812","C00519","NCCS(O)=O","1"
"beta-gentiobiose","NA","NA","NA","NA","NA","0"
"uric acid","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"nicotinic acid","Nicotinic acid","HMDB0001488","938","C00253","OC(=O)C1=CN=CC=C1","1"
"diphenoxyethane","NA","NA","NA","NA","NA","0"
"2,4-diaminobutyric acid","2,4-Diaminobutyric acid","HMDB0002362","470",NA,"NCCC(N)C(O)=O","1"
"gluconic acid lactone","Gluconolactone","HMDB0000150","7027","C00198","OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"panose","Panose","HMDB0029937","4120027","C00713","OCC1OC(OCC2OC(OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C2O)C(O)C(O)C1O","1"
"maltotriose","Maltotriose","HMDB0001262","439586","C01835","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"uracil","Uracil","HMDB0000300","1174","C00106","O=C1NC=CC(=O)N1","1"
"1-monopalmitin","MG(16:0/0:0/0:0)","HMDB0011564","3084463",NA,"[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCC","1"
"ethanol phosphate","NA","NA","NA","NA","NA","0"
"trehalose-6-phosphate","Trehalose 6-phosphate","HMDB0001124","122336","C00689","OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"homoserine","L-Homoserine","HMDB0000719","12647","C00263","N[C@@H](CCO)C(O)=O","1"
"hexadecylglycerol","NA","NA","NA","NA","NA","0"
"cyanoalanine","3-Cyanoalanine","HMDB0245844","13538","C11363","NC(CC#N)C(O)=O","1"
"nicotinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"indole-3-butyric acid","3-Indolebutyric acid","HMDB0002096","8617","C11284","OC(=O)CCCC1=CNC2=C1C=CC=C2","1"
"pipecolinic acid","Pipecolic acid","HMDB0000070","849","C00408","OC(=O)C1CCCCN1","1"
"terephthalic acid","Terephthalic acid","HMDB0002428","7489","C06337","OC(=O)C1=CC=C(C=C1)C(O)=O","1"
"aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","C00872","NC(C(O)=O)C(O)=O","1"
"sarcosine","Sarcosine","HMDB0000271","1088","C00213","CNCC(O)=O","1"
"dopamine","Dopamine","HMDB0000073","681","C03758","NCCC1=CC(O)=C(O)C=C1","1"
