term,estimate,std.error,statistic,p.value
(Intercept),0.0817901599806317,0.0931898311647082,0.87767258464147,0.380388936359463
treatment25C,0.00362133584354759,0.0698299710777208,0.0518593347191429,0.958653919829427
treatment5C,0.757772430170532,0.0675258570167964,11.2219594633511,3.248945546293e-27
day,-0.0109240478949622,0.00259703938750596,-4.2063466374505,2.89346084873889e-05
integument.cont,0.121886655415608,0.0365744952203392,3.33255878669861,0.00090064776401716
weight,0.0056561822061736,0.0022532193368999,2.51026702706878,0.012263292911084
treatment25C:day,-0.0114693361311137,0.00352330074423123,-3.25528161338275,0.00118117022688741
treatment5C:day,0.0255610648730891,0.00322315169959616,7.93045666336206,7.46990216352844e-15
