term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
TTRnullDiffTreatment,9,342.070322326089,362.560317397234,-162.035161163045,324.070322326089,NA,NA,NA
TTRDiffmodel,13,340.071913962139,369.668573509347,-157.035956981069,314.071913962139,9.99840836395055,4,0.0404545014292071
TTRnullDiffDay,10,334.690455563041,357.457116753202,-157.345227781521,314.690455563041,NA,NA,NA
TTRDiffmodel,13,340.071913962139,369.668573509347,-157.035956981069,314.071913962139,0.618541600902518,3,0.89217488699773
TTRnullDiffInteraction,11,336.644333624138,361.687660933314,-157.322166812069,314.644333624138,NA,NA,NA
TTRDiffmodel,13,340.071913962139,369.668573509347,-157.035956981069,314.071913962139,0.572419661999277,2,0.751104994298723
