
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	raw value	OFF	SC7-540-211	3	OFF	25.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	25.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	25.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	25.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Not Calibrated	24.000	NaN	1012	65.911	20.950	51.458	20.392	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	25.000	1014	100.000	20.950	51.925	21.010	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	25.000	1015	100.000	20.950	49.383	20.912	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	25.000	1014	100.000	20.950	48.874	20.787	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/20/2023	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/20/2023	18:40:44	0.00		-2.1175E+5	99.973	102.25	101.10	25.000	25.000	25.000	25.000	1014.16	49.501	---	---	---	177.331	21.011	20.682	20.669	7.414	327.550	242.264	228.680	5.775	6.066	6.565	5.621	
7/20/2023	18:40:45	1.35		-2.1176E+5	99.960	102.26	101.05	25.000	25.000	25.000	25.000	1014.13	49.297	---	---	---	177.377	21.013	20.682	20.674	7.405	327.497	242.269	228.687	6.039	6.059	6.585	5.629	
7/20/2023	18:40:46	2.40		-2.1176E+5	99.933	102.30	101.06	25.000	25.000	25.000	25.000	1014.12	49.117	---	---	---	177.318	21.016	20.678	20.673	7.413	327.438	242.253	228.722	6.367	6.068	6.597	5.619	
7/20/2023	18:40:47	3.45		-2.1175E+5	99.915	102.24	101.03	25.000	25.000	25.000	25.000	1014.17	48.992	---	---	---	177.395	21.017	20.684	20.677	7.408	327.417	242.238	228.710	6.370	6.069	6.589	5.618	
7/20/2023	18:40:48	4.50		-2.1174E+5	99.910	102.26	101.07	25.000	25.000	25.000	25.000	1014.22	48.890	---	---	---	177.381	21.017	20.681	20.671	7.419	327.412	242.221	228.715	6.429	6.059	6.569	5.622	
7/20/2023	18:40:49	5.55		-2.1174E+5	99.933	102.27	101.07	25.000	25.000	25.000	25.000	1014.21	48.812	---	---	---	177.460	21.015	20.680	20.671	7.419	327.419	242.208	228.715	6.426	6.067	6.560	5.638	
7/20/2023	18:40:50	6.61		-2.1175E+5	99.944	102.35	101.07	25.000	25.000	25.000	25.000	1014.16	48.733	---	---	---	177.599	21.014	20.673	20.672	7.415	327.435	242.202	228.698	6.461	6.075	6.571	5.650	
7/20/2023	18:40:51	7.66		-2.1176E+5	99.977	102.34	101.05	25.000	25.000	25.000	25.000	1014.13	48.677	---	---	---	177.553	21.011	20.674	20.674	7.411	327.424	242.206	228.717	6.430	6.098	6.580	5.648	
7/20/2023	18:40:52	8.71		-2.1175E+5	99.975	102.30	101.08	25.000	25.000	25.000	25.000	1014.15	48.631	---	---	---	177.471	21.011	20.678	20.671	7.419	327.447	242.207	228.713	6.399	6.098	6.568	5.619	
7/20/2023	18:40:53	9.77		-2.1175E+5	99.955	102.26	101.11	25.000	25.000	25.000	25.000	1014.17	48.621	---	---	---	177.409	21.013	20.682	20.668	7.418	327.464	242.200	228.719	6.359	6.098	6.536	5.588	
7/20/2023	18:40:54	10.83		-2.1174E+5	99.907	102.28	101.05	25.000	25.000	25.000	25.000	1014.22	48.621	---	---	---	177.516	21.017	20.680	20.674	7.419	327.451	242.189	228.701	6.349	6.083	6.508	5.589	
7/20/2023	18:40:56	11.88		-2.1173E+5	99.934	102.27	101.00	25.000	25.000	25.000	25.000	1014.25	48.644	---	---	---	177.563	21.014	20.680	20.678	7.406	327.345	242.165	228.754	6.337	6.062	6.501	5.588	
7/20/2023	18:40:57	12.93		-2.1173E+5	99.963	102.29	100.97	25.000	25.000	25.000	25.000	1014.24	48.667	---	---	---	177.555	21.011	20.678	20.681	7.415	327.172	242.161	228.825	6.339	6.062	6.523	5.595	
