PC,metabolite,loading,low,high
2,alanine,-0.142865488138621,-0.168373875220335,-0.097047055896938
2,xanthine,-0.114681113805935,-0.143214518103139,-0.0671490251900505
2,fructose-6-phosphate,-0.122437617248652,-0.1333299862565,-0.105122926011025
2,6-deoxygalactofuranose ,-0.16404344385456,-0.18300661167597,-0.129523324689535
2,ciliatine,-0.177073694526331,-0.184636385678902,-0.151679163101924
2,glycine,-0.137305561347181,-0.159497107548181,-0.0937831331134917
2,glucose-6-phosphate,-0.124513804560176,-0.136060343170621,-0.100613276898838
2,ornithine,-0.113679682968073,-0.136129441000571,-0.0817931796598873
2,citrulline,-0.113154826831816,-0.135246657499634,-0.0830247341121972
2,methionine,-0.0983528737794343,-0.136877505744262,-0.0397124382350154
2,ononitol,0.206656664525793,0.174800521456495,0.216956756211405
2,conduritol-beta-epoxide,0.204429705100425,0.173429003486787,0.211202772765463
2,2-hydroxyglutaric acid,0.131479147958832,0.100096100312518,0.14831098299313
2,lactose ,0.151448788264317,0.119801910142912,0.172348163779216
2,cadaverine,0.143185311013051,0.102078376744435,0.16687859513803
2,pinitol,0.179652005846982,0.150032086882927,0.190120635005045
2,sorbitol,0.138642066323003,0.0961643386310155,0.163053627852726
2,1,5-anhydroglucitol,0.147938968364433,0.122054990493513,0.173393622740077
2,homoserine,0.14083624684063,0.0953976557998458,0.167720713171704
2,glucosamine,0.122278810722639,0.0870877076812759,0.139775860630989
