PC,metabolite,loading,low,high
1,glycine,-0.0848192136862495,-0.109456898512073,-0.0523220177084524
1,alanine,-0.0806283593345125,-0.110470938082328,-0.0535269783705126
1,ethanolamine,-0.109996816738981,-0.128295408620301,-0.0847126003623119
1,aminomalonic acid,-0.0759081154312807,-0.10837834134838,-0.0374993959769731
1,phenylalanine,-0.116168056595154,-0.13809198921106,-0.0833332454058014
1,galactinol,-0.0517676370302179,-0.0814168020979666,-0.0216375528978503
1,maltotriitol,-0.050253356085129,-0.0939291541741967,-0.00869231891698769
1,campesterol ,-0.0494761229558515,-0.09191109185801,0.00758052779092296
1,isoleucine,-0.0456945741715819,-0.0900063930687727,0.000293853556278588
1,glucosamine,-0.0406867346885781,-0.0662274010504013,-0.0138420895911046
1,pyrophosphate,0.173509652874045,0.155034038041091,0.178809271629453
1,adenine,0.173650055005919,0.15134307181091,0.186507953623079
1,glucose-1-phosphate,0.165948271975653,0.138494564658554,0.184505497997213
1,UDP-N-acetylglucosamine,0.163232067399988,0.141761557045295,0.169163022838491
1,cytidine-5-monophosphate,0.16179476818309,0.137272581197227,0.178829492514655
1,fructose-6-phosphate,0.15937514862804,0.137063714106601,0.164206858551868
1,glucose-6-phosphate,0.155902264693363,0.130294996758961,0.161691934503492
1,2,5-dihydroxypyrazine ,0.150198136003694,0.126827493491725,0.161121031046736
1,adenosine,0.148613955201661,0.118802376649823,0.158234421079779
1,cytosine,0.136298544184173,0.111680444003838,0.156268590297879
