Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
25-052_R2_001	25-052_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30405378.0	0.0	20-150	43.0	23.615086805593084	144.11039007638715	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-053_R1_001	25-053_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51745686.0	0.0	20-150	44.0	18.50205588117268	148.14598080697974	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-053_R2_001	25-053_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51427980.0	0.0	20-150	44.0	18.63275355565125	140.94632270215553	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-054_R1_001	25-054_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50701029.0	0.0	20-150	45.0	21.742415777017722	148.2638400494791	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-054_R2_001	25-054_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50653442.0	0.0	20-150	45.0	21.27081181855879	142.57718458698227	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-055_R1_001	25-055_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32933096.0	0.0	20-150	44.0	23.019798126244854	148.45556804012597	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
25-055_R2_001	25-055_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32896732.0	0.0	20-150	45.0	22.158758700618133	145.82281844895718	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-056_R1_001	25-056_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34438506.0	0.0	20-150	43.0	21.730898231871155	148.34180948499915	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-056_R2_001	25-056_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34333749.0	0.0	20-150	43.0	22.99411928675387	142.50049894056136	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-058_R1_001	25-058_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40283013.0	0.0	20-150	42.0	19.743445404464566	148.07031668658945	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
