Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
15-033_R1_001	3.5	46978803	17282110	46978803	7046820450	10653478	6994172477	0.7471167085007822
15-033_R2_001	3.5	46978803	22244568	46978803	7046820450	18022002	6791117791	3.62862458060784
15-091_R1_001	3.5	44844801	17323270	44844801	6726720150	15125277	6665542029	0.9094792058504173
15-091_R2_001	3.5	44844801	25036391	44844801	6726720150	20983496	6254022206	7.027168270111549
15-092_R1_001	3.5	49473567	18713156	49473567	7421035050	32775699	7335823365	1.1482452841938808
15-092_R2_001	3.5	49473567	31269733	49473567	7421035050	25583610	6664093888	10.199940532554148
15-152_R1_001	3.5	32902125	12167928	32902125	4935318750	6699002	4894809407	0.8208049986639667
15-152_R2_001	3.5	32902125	17362782	32902125	4935318750	28620756	4661535973	5.547418330376331
15-154_R1_001	3.5	50881500	19598000	50881500	7632225000	17630753	7563591605	0.8992580145370452
15-154_R2_001	3.5	50881500	26830490	50881500	7632225000	24094390	7233087319	5.229637242088644
15-161_R1_001	3.5	53205605	20161837	53205605	7980840750	24688868	7902615217	0.9801665695434407
15-161_R2_001	3.5	53205605	30294348	53205605	7980840750	26073037	7386164309	7.451300679066927
25-046_R1_001	3.5	44456348	16364563	44456348	6668452200	11049392	6617033312	0.7710768024999864
25-046_R2_001	3.5	44456348	21747178	44456348	6668452200	19021727	6392130405	4.143717113245559
25-047_R1_001	3.5	38555317	8642323	38555317	5783297550	34694878	5725885360	0.9927241250106524
25-047_R2_001	3.5	38555317	17823311	38555317	5783297550	26735927	5077694611	12.200702676970165
25-048_R1_001	3.5	28073566	10240385	28073566	4211034900	8128720	4178805262	0.7653614554464985
25-048_R2_001	3.5	28073566	12882783	28073566	4211034900	15058741	4043962093	3.967499936891998
25-049_R1_001	3.5	38621453	14455214	38621453	5793217950	7488713	5749510740	0.7544547844950319
25-049_R2_001	3.5	38621453	19006473	38621453	5793217950	32051649	5544070049	4.300682334936147
25-050_R1_001	3.5	53096503	19644563	53096503	7964475450	13163905	7903741391	0.7625619462484501
25-050_R2_001	3.5	53096503	25862101	53096503	7964475450	21683613	7636272256	4.120838792967841
25-051_R1_001	3.5	54025751	18007779	54025751	8103862650	37405648	8017167407	1.0698014853447695
25-051_R2_001	3.5	54025751	30244512	54025751	8103862650	28394534	7400948447	8.673816837209106
25-052_R1_001	3.5	30427334	11404587	30427334	4564100100	9074357	4529307567	0.7623087188644263
25-052_R2_001	3.5	30427334	14295210	30427334	4564100100	14176060	4397084553	3.65933137618958
25-053_R1_001	3.5	51745762	18424704	51745762	7761864300	23509034	7691491556	0.9066474403578532
25-053_R2_001	3.5	51745762	26753462	51745762	7761864300	22501634	7276795494	6.249385292654498
25-054_R1_001	3.5	50701073	18471902	50701073	7605160950	14581955	7542867566	0.8190935656660889
25-054_R2_001	3.5	50701073	25505519	50701073	7605160950	22541854	7245516441	4.728953290594067
25-055_R1_001	3.5	32933107	11859944	32933107	4939966050	8607849	4906491786	0.677621337094007
25-055_R2_001	3.5	32933107	14035520	32933107	4939966050	14214372	4814252050	2.5448353030685302
25-056_R1_001	3.5	34438544	12687109	34438544	5165781600	6571746	5126045610	0.7692154465066815
25-056_R2_001	3.5	34438544	17315154	34438544	5165781600	29483190	4909809573	4.955146129290483
25-058_R1_001	3.5	40283042	15530055	40283042	6042456300	14802844	5985019999	0.9505455753151247
25-058_R2_001	3.5	40283042	22589716	40283042	6042456300	23473067	5609905030	7.158533691009068
25-059_R1_001	3.5	65914867	21932772	65914867	9887230050	37735067	9790750333	0.9758012761117053
25-059_R2_001	3.5	65914867	35639704	65914867	9887230050	34484675	9042981275	8.53877952399823
25-060_R1_001	3.5	56349866	19487339	56349866	8452479900	33498914	8369952497	0.9763691126908212
25-060_R2_001	3.5	56349866	28894183	56349866	8452479900	33965192	7889111015	6.665131318443004
25-109_R1_001	3.5	45138283	17150220	45138283	6770742450	19431326	6703955224	0.9864091935737417
25-109_R2_001	3.5	45138283	25017287	45138283	6770742450	21445239	6331216646	6.491545162820364
25-110_R1_001	3.5	35508585	13296830	35508585	5326287750	6581399	5289997675	0.6813389869895783
25-110_R2_001	3.5	35508585	16293217	35508585	5326287750	15730756	5166584252	2.998401616585585
25-112_R1_001	3.5	46964893	16980032	46964893	7044733950	9612857	7001656183	0.6114889122249961
25-112_R2_001	3.5	46964893	19746617	46964893	7044733950	20612217	6898559700	2.0749435115289203
25-113_R1_001	3.5	32410729	11879221	32410729	4861609350	7710752	4824448576	0.7643718638150143
25-113_R2_001	3.5	32410729	15238617	32410729	4861609350	15199532	4691653569	3.4958748999443983
25-114_R1_001	3.5	67866400	25251072	67866400	10179960000	14468000	10109817487	0.6890254283906814
25-114_R2_001	3.5	67866400	30325745	67866400	10179960000	28084934	9879112375	2.955292800757567
25-115_R1_001	3.5	39222905	14299712	39222905	5883435750	10315008	5836207345	0.8027351195260355
25-115_R2_001	3.5	39222905	19966901	39222905	5883435750	15934117	5575167262	5.239599803567159
25-116_R1_001	3.5	44276886	16317345	44276886	6641532900	9682868	6592941159	0.7316344243359842
25-116_R2_001	3.5	44276886	20651099	44276886	6641532900	18696958	6423299826	3.2858841066645925
25-117_R1_001	3.5	38909636	14089416	38909636	5836445400	15193288	5788089716	0.8285125737662173
25-117_R2_001	3.5	38909636	20063115	38909636	5836445400	18886941	5419915970	7.136697106769815
25-119_R1_001	3.5	50999426	18867200	50999426	7649913900	8888931	7606250104	0.5707749991800561
25-119_R2_001	3.5	50999426	21422138	50999426	7649913900	21722835	7505147378	1.8923941353117713
25-120_R1_001	3.5	56223361	21786429	56223361	8433504150	18070085	8355176698	0.9287652037261402
25-120_R2_001	3.5	56223361	30640681	56223361	8433504150	25359276	7893396436	6.4043095775318974
25-167_R1_001	3.5	37431573	13870703	37431573	5614735950	7267058	5569635753	0.8032469808308617
