Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
15-033_R1_001	2444.0	1528.0	451.0	307.5	344.0	349.0	323.5	344.5	404.0	500.0	653.5	992.5	7541.0	11984.5	43282.5	127972.5	160411.5	96802.0	69983.0	107013.0	151215.5	305972.0	381781.5	290458.5	275388.0	388950.0	519362.5	535513.5	646220.5	778384.0	1053121.5	1432391.5	1289293.0	1109190.5	1394916.0	1437951.5	1261453.0	1212129.5	1245634.0	1291338.5	1329245.0	1393834.5	1223430.5	991724.5	938622.0	993103.5	1044645.0	1154420.5	1213068.5	1200656.0	1251597.0	1307800.0	1332587.5	1378783.0	1402077.5	1375818.0	1344421.0	1252319.5	1100631.5	965980.0	896276.5	839038.0	788930.0	662478.5	476065.0	355844.5	276541.5	208141.5	160617.0	126918.0	95192.0	67378.0	50053.0	39934.5	33124.5	25961.0	15464.5	8482.0	5661.5	4417.0	3303.0	2923.0	2836.5	1580.0	270.5	83.0	49.5	39.5	31.0	23.0	20.5	17.0	15.5	16.0	19.5	30.5	54.5	192.5	1101.0	1378.5	447.5
15-033_R2_001	6059.0	3410.5	558.0	312.5	269.5	281.5	285.5	342.5	501.0	648.5	822.5	1570.0	41521.5	65736.0	82297.0	200631.5	313279.5	256020.5	218822.5	218395.5	230146.5	351030.5	411347.5	391208.0	489932.0	639309.5	633511.0	598863.5	611494.5	781913.5	1024984.0	1179553.5	1135958.5	1039530.5	1138551.0	1248552.5	1337535.0	1381982.0	1222214.0	1079480.0	1084386.5	1074247.5	1017919.0	933751.5	906372.0	962126.5	1045182.0	1109985.5	1173923.5	1216867.5	1248552.5	1293961.0	1339484.5	1426326.5	1482784.0	1445377.5	1373493.5	1262203.5	1116756.0	985036.0	872033.0	747343.5	619773.5	513292.5	415041.5	339325.5	276006.5	219353.0	163132.0	109116.0	84943.0	73098.5	61644.0	48485.0	35587.5	26821.0	19323.5	13494.0	9790.5	7602.0	6529.0	6346.5	5794.5	4428.0	3455.0	3122.5	3049.5	2968.5	2887.5	2838.0	2732.5	2667.5	2662.5	2713.5	2889.5	3254.0	4008.0	5735.0	9273.0	19790.0	202931.5
15-091_R1_001	4464.0	2664.0	633.5	406.5	439.0	419.5	351.5	362.0	394.0	499.0	766.5	1141.5	7577.5	11591.0	18965.0	51013.0	137479.0	174144.0	128146.5	132465.0	175436.5	334193.0	442223.5	377564.0	397685.5	523694.0	645970.0	778059.5	898107.0	878318.0	1095029.0	1390529.0	1268410.0	1191361.0	1454673.5	1519368.0	1371649.5	1297485.0	1301728.0	1307912.0	1322532.5	1367068.5	1211424.0	998923.0	914857.5	929975.0	962899.0	1032185.5	1063478.5	1043677.5	1057264.0	1084867.0	1100419.5	1123345.0	1127049.5	1105826.0	1063074.0	974048.0	865530.0	762795.0	682455.5	636947.0	653247.0	640938.0	510065.0	353178.5	245931.5	176158.0	128261.5	94370.0	72517.0	54732.0	41035.0	31299.5	25632.5	20989.5	14603.0	8691.0	4818.0	3318.5	2711.5	2523.5	2911.5	1823.0	314.0	91.0	54.0	49.0	45.0	32.5	26.5	25.0	22.5	21.5	23.5	30.0	52.5	194.5	908.0	1072.5	340.0
15-091_R2_001	7986.0	4519.5	784.5	443.0	352.0	353.0	326.5	338.0	449.5	537.0	779.5	1729.5	43554.5	69276.0	88228.0	206327.0	394829.0	391956.5	358285.0	327473.0	287077.0	449468.5	504091.5	430011.0	573102.5	782270.0	710008.5	612373.5	674680.0	919982.5	1119244.5	1253859.5	1240015.0	1084084.0	1163959.5	1294019.0	1386273.0	1442131.5	1252671.0	1072777.5	1085400.5	1071277.5	990822.5	883005.0	851301.5	890931.5	936185.5	974643.0	1015237.5	1040163.5	1063450.5	1091820.0	1110158.5	1156052.0	1181781.0	1148312.5	1092031.0	999406.0	890925.5	784152.5	678626.5	582422.5	489247.5	403299.5	324631.5	259589.5	211636.0	174314.5	131770.0	90875.0	72461.0	62927.5	52372.5	41012.5	30701.5	24343.5	19488.5	14506.0	10910.0	9065.0	8079.0	7952.5	7539.5	6211.0	5195.5	4882.0	4762.0	4578.5	4498.0	4405.0	4287.5	4173.0	4149.5	4234.0	4407.0	4896.0	5942.5	8441.5	13614.5	27660.5	318082.5
15-092_R1_001	7185.0	4360.5	1136.5	949.0	1095.0	917.5	819.0	864.0	942.0	1165.0	1573.5	1979.5	7276.5	10825.5	36798.5	102424.0	132384.0	96654.5	92104.5	127347.5	175692.0	314361.0	396238.0	350840.5	355203.5	529637.0	718324.5	693198.0	792106.0	922821.0	1139586.5	1353063.0	1248284.5	1249452.5	1488762.0	1602660.0	1512553.5	1427236.5	1400661.0	1406223.0	1463143.0	1533623.0	1367355.5	1141946.5	1092363.0	1130435.0	1156974.5	1230828.5	1273800.5	1272116.5	1312398.0	1340577.5	1349516.5	1376926.5	1370027.5	1328368.5	1281215.5	1187047.5	1071226.0	974224.5	899086.0	785333.0	649033.5	514362.0	389840.5	307621.0	241717.0	182509.0	138706.0	101880.5	76585.0	59446.0	45102.0	33953.5	26340.0	20065.0	14548.5	8638.5	4384.0	3033.0	2427.5	2170.0	2385.5	1396.5	241.5	111.0	72.5	54.5	47.0	43.0	42.0	41.5	37.0	31.5	30.0	48.5	121.0	466.5	2097.0	2473.0	786.5
15-092_R2_001	14444.0	8130.5	1394.0	869.0	769.0	802.5	841.0	1027.5	1270.0	1444.5	1831.5	2527.5	29206.0	47197.0	65779.5	162961.5	287739.5	261970.0	228720.5	220935.5	229459.5	352568.5	412660.5	401967.0	514851.5	665535.0	671625.0	665091.5	704199.0	927953.5	1199051.0	1359628.0	1307302.0	1195266.0	1318477.0	1425480.5	1501277.0	1528601.5	1364723.0	1232558.5	1250255.5	1252568.0	1183858.5	1084685.5	1041088.5	1078327.0	1136097.5	1187544.0	1245862.5	1280842.5	1300378.0	1326368.5	1356589.5	1430493.0	1462918.0	1410141.5	1321833.0	1199913.0	1067220.0	941967.5	822307.5	699601.5	577891.0	471040.5	375852.0	295196.0	230719.5	182093.0	135647.0	93446.0	72824.0	61643.5	51208.5	38133.5	27336.5	21840.0	17302.0	11788.5	7982.0	6349.0	5564.5	5485.5	5128.0	4001.0	3238.0	3069.0	3057.0	3009.0	3025.0	3005.0	2946.0	2912.0	2908.5	2936.0	3102.0	3500.0	4170.5	5784.0	9097.0	17561.5	160977.5
15-152_R1_001	1668.0	1036.0	300.5	202.0	215.5	202.5	182.0	189.5	235.5	286.0	418.5	689.0	5774.5	8792.5	13685.0	33436.5	97686.5	127268.5	84927.0	85398.0	115507.5	225977.0	286798.5	222099.5	214414.5	274103.0	358331.0	452161.5	560027.0	594062.5	769790.0	1073847.0	946648.5	764162.0	944691.5	962421.0	867338.0	844424.0	859186.5	886330.5	906067.5	940531.0	839426.0	699951.5	651895.5	668720.5	711824.5	799454.0	837133.5	824048.0	856401.0	898355.5	913308.5	931248.0	941444.5	932362.0	912398.0	846805.0	743745.0	643270.0	563473.5	495852.0	451883.0	411826.0	423027.5	396512.0	275171.0	180245.5	125496.0	97021.0	77171.5	57114.5	41708.5	33438.0	29125.0	22355.5	12679.5	6512.5	4441.5	3613.0	2802.0	2639.0	2718.5	1579.5	248.0	60.5	33.5	32.0	32.5	20.5	14.0	10.5	9.0	10.0	12.0	11.5	22.5	73.5	251.0	292.0	106.5
15-152_R2_001	3898.0	2220.5	389.5	206.0	177.0	176.5	193.5	250.5	325.0	432.5	572.0	1074.5	27695.0	45314.0	53339.0	128125.5	226904.0	213773.5	194816.0	185436.0	186384.0	294034.0	326409.5	281542.0	383567.5	510896.0	454951.0	391287.0	429670.0	588557.5	726092.0	828441.5	822012.5	722205.5	776170.0	861473.0	921966.0	952343.0	841696.0	740433.0	747608.5	748693.5	709083.5	639503.5	616729.0	652924.0	712242.0	761151.0	802260.5	831291.5	857166.0	888422.0	904013.5	938285.0	962223.5	938041.0	903403.5	841106.0	753260.5	663443.0	577979.0	500407.5	425356.0	362213.0	307167.5	250721.0	202207.0	165014.5	121110.5	84267.0	70801.5	62280.0	51873.0	39990.5	29375.0	24002.5	18046.0	12705.0	10048.5	8447.0	7679.0	7673.5	7373.0	6313.0	5333.0	4921.0	4788.5	4637.5	4504.5	4495.0	4560.0	4556.5	4577.0	4690.5	5019.0	5661.5	6693.0	9243.0	14199.5	26216.5	229103.0
15-154_R1_001	4003.0	2465.5	677.0	439.0	437.0	391.5	365.5	396.5	441.5	541.5	846.5	1319.5	8070.5	12332.0	20351.0	54210.0	148128.5	188493.5	134154.0	136171.0	188663.0	335981.0	435535.5	375674.0	373230.0	513941.0	675342.5	829955.0	961517.0	989832.5	1233704.5	1410967.5	1388382.5	1485618.5	1693079.0	1711215.0	1541999.5	1458930.0	1477461.0	1511121.0	1555733.5	1609567.0	1420349.5	1165111.0	1061604.5	1076937.5	1127864.5	1215277.0	1238445.0	1201674.5	1220916.0	1259373.5	1280103.5	1311686.0	1317988.0	1282589.5	1230025.5	1142661.5	1024057.0	897472.5	797560.0	730193.0	718530.5	672099.0	533657.0	397015.5	290791.0	206434.5	150668.0	112112.0	83155.5	62277.0	47353.5	36286.0	29697.0	23784.5	15581.5	8966.0	4844.5	3511.5	2997.0	2696.5	3054.0	1922.5	351.5	120.5	75.0	47.5	37.5	39.0	35.0	30.0	30.0	29.0	27.5	27.0	51.5	136.5	556.5	664.0	221.5
