treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
15C,tank2,2,-7011.57582163505,1.3601659813793e-111,0.842541374799145,-51.1717182415313,2.50492770910573e-265,0.904942607681046,-6960.40410339352,0.00729817655021784
15C,tank2,4,-6663.39769615734,8.44598074644512e-282,0.976865964835617,-138.682088403974,2.91941036302375e-276,0.913794718188373,-6501.06068953261,0.020812518587019
15C,tank2,3,-8196.80786060596,1.27085408065618e-128,0.853050215326316,-162.337006624732,2.05013672425158e-261,0.901558364903478,-8058.12577220199,0.0198049056883384
15C,tank5,2,-5888.34633934604,0,0.986026266493171,35.9745979378907,1.38791769232346e-114,0.613483725304117,-5924.32093728393,0.00610945686015575
15C,tank5,4,-15164.509898579,5.06436421766314e-207,0.994886732481373,-42.0165696106793,2.50184387130351e-177,0.772439531103248,-15021.1167587697,0.00277071727946951
15C,tank5,3,-8194.39241548699,7.64379389800385e-169,0.929910864540996,-143.393139809291,0,0.948567441163956,-8152.37584587631,0.0174989349470603
15C,tank8,2,-7966.5933219512,3.31267282613234e-291,0.971555132500416,-0.881665853536055,0.122019771429531,0.00418996903185949,-7965.71165609767,0.000110670372881556
15C,tank8,3,-5731.8761479073,6.07344545529933e-253,0.946698488532193,-103.648878618621,1.66075844747442e-201,0.8002345748646,-5628.22726928868,0.018082888733816
15C,tank8,4,-3168.61721437526,0,0.923827141024152,-87.7244907826627,3.63160493949289e-65,0.399683994925398,-3080.8927235926,0.0276854175962554
25C,tank3,2,-10203.3601275911,7.43038681865113e-89,0.8918213540382,49.756279542437,6.19428763009814e-29,0.200615960556534,-10253.1164071335,0.00487646019744908
25C,tank3,3,-11880.6086228038,2.95700396831108e-131,0.978030866663848,229.793075831702,0,0.976033938537389,-12110.4016986355,0.0193418606005279
25C,tank3,4,-6635.60664009103,5.16134362064437e-260,0.974426924404864,109.365000248971,7.21319744598417e-207,0.815948949301054,-6744.97164034,0.0164815375866631
25C,tank6,2,-4873.2144947399,1.32092430015621e-314,0.965338516437847,-29.0622273116085,9.28118296624966e-104,0.577848153414457,-4844.1522674283,0.00596366676307351
25C,tank6,3,-7199.45200113362,5.71467571747424e-123,0.874882266067251,-176.554483294736,3.00444154220771e-251,0.87906225891352,-7022.89751783888,0.0245233225066208
25C,tank6,4,-11261.9745888696,5.44173018000739e-121,0.928294664466408,-59.7121363559057,4.98549542538012e-143,0.697324237378039,-11202.2624525137,0.00530210185476002
25C,tank9,3,-8492.72967810366,3.77766818350798e-198,0.97679900779634,118.818344696672,5.79167476782286e-37,0.256424925343529,-8388.55413634134,0.0139905953916107
25C,tank9,2,-26013.5767397239,1.86621802775042e-55,0.927836848034786,-104.175541762316,4.90974292576896e-27,0.191777371618114,-26132.3950844206,0.00400466044345358
25C,tank9,4,-7646.56250013003,1.88585663914157e-191,0.969908908625573,-95.1299959486502,0,0.93851114178866,-7551.43250418138,0.0124408838542852
5C,tank1,2,-2160.73946208872,0,0.920724403029768,-70.0856486353743,4.05236781223784e-228,0.823970595176228,-2090.65381345334,0.0324359553130135
5C,tank1,3,-1893.19992533532,0,0.9492354664474,-47.0994588662178,4.15113788324993e-29,0.189033096928806,-1846.1004664691,0.0248782277222389
5C,tank1,4,-2310.16935846867,0,0.98869057946027,-153.274606507347,0,0.942607693290752,-2156.89475196133,0.0663477791987281
5C,tank4,2,-989.978616418749,0,0.905339702929535,-68.3223539615493,5.30219747764425e-24,0.166515901562831,-921.6562624572,0.0690139694215877
5C,tank4,3,-1282.87218587949,0,0.966419827520008,-90.1471007969771,3.66428611974775e-269,0.888270490394353,-1192.72508508251,0.0702697445538394
5C,tank4,4,-1703.37869027805,0,0.973507468116031,-51.961559550804,5.87737442595079e-151,0.705287190562604,-1651.41713072725,0.0305049956579662
5C,tank7,4,-2825.71826212889,0,0.920385198802497,-89.3431350920837,4.3572367755439e-89,0.512413856540254,-2555.37446566408,0.0316178496241068
5C,tank7,2,-1463.50053450873,0,0.968030685695272,-270.343796464808,3.82229740535205e-260,0.881050176200861,-1324.55979944544,0.184724084542653
5C,tank7,3,-1816.8234331528,0,0.963221154659795,-138.940735063291,0,0.961340883710297,-1727.48029806072,0.0764745393129272
