treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
15C,tank2,2,-6427.69824451888,2.93802548647118e-177,0.888990844107619,-74.5451661141199,7.30746083544618e-302,0.915318718518404,-6353.15307840476,0.0115974900000458
15C,tank2,3,-6924.5538977556,1.54746347913851e-309,0.96618230598971,-112.491058000568,3.10165936660292e-76,0.457366478525326,-6812.06283975503,0.0162452426050187
15C,tank2,4,-7399.39223112688,4.351787715693e-109,0.786813214123826,-157.505098196345,0,0.981576216705875,-7241.88713293054,0.0212862209863361
15C,tank5,2,-10167.9471196985,7.87748778899412e-188,0.951878889522108,-12.3237406424198,7.25171585515444e-21,0.14403798372496,-10155.623379056,0.00121201856159783
15C,tank5,3,-8608.54637731641,1.24700980099322e-277,0.984827141701723,72.2000052411759,8.29305848891946e-43,0.283368541749301,-8680.74638255759,0.00838701472660048
15C,tank5,4,-2334.90818076302,0,0.955503381672064,-163.829590177609,0,0.988686157631459,-2171.07859058541,0.0701653244985725
15C,tank8,2,-4485.70714413106,9.11212958314128e-312,0.956146174683646,-105.168530800644,0,0.93631158988686,-4380.53861333041,0.0234452511992992
15C,tank8,3,-10172.7624578658,3.81872867194998e-223,0.979483663045306,-105.107072155658,6.08958654346795e-301,0.914673996050884,-10067.6553857101,0.0103322054939351
15C,tank8,4,-8380.37785892899,0,0.996258533498682,-100.569420004884,0,0.956883406843663,-8279.80843892411,0.0120005829925355
25C,tank3,2,-5152.3034863369,0,0.978824825315128,-65.4252509776615,2.33009718602052e-231,0.847628687079812,-5086.87823535924,0.0126982525682268
25C,tank3,3,-4998.04934913024,2.20214732279979e-216,0.913057670868352,-226.550609829307,1.41789894802146e-286,0.903148888770176,-4771.49873930093,0.0453278057105882
25C,tank3,4,-4076.25034255075,0,0.951374260533967,-200.791729101037,0,0.969021735713648,-3875.45861344972,0.0492589297092557
25C,tank6,2,-9827.7178949849,9.7627296551564e-206,0.977933698524414,-212.789448323973,1.12396152474291e-217,0.831136733755217,-9614.92844666092,0.0216519695210788
25C,tank6,3,-6968.03807119329,2.55618027896778e-200,0.956618092635366,-78.5533190750597,9.95103604628646e-39,0.262042280620695,-6889.48475211823,0.0112733768490457
25C,tank6,4,-6281.200463066,3.49945944598074e-118,0.81105863729979,-60.3308192071464,1.10892609310411e-139,0.678687846525512,-6220.86964385885,0.00960498228991365
25C,tank9,2,-5539.19905670307,1.06743874411031e-119,0.828833325718104,-128.677303095724,2.90177072011064e-296,0.911706411953094,-5410.52175360734,0.0232303085298966
25C,tank9,3,-8775.05127980767,1.44853857719618e-169,0.962508754422576,-149.444037414652,4.04192117003982e-164,0.737337053875851,-8625.60724239301,0.0170305600103487
25C,tank9,4,-10040.9312667609,5.99997785932947e-125,0.941096352351783,337.689594158377,6.28154224733662e-311,0.921769447525061,-10378.6208609192,0.033631302235506
5C,tank1,2,-1118.96411636154,0,0.936028562754001,3.25965530845806,0.803666851392014,0.000110259920122021,-1122.22377167,0.00291310084103255
5C,tank1,3,-897.026035106135,0,0.983400621668068,-253.899497240535,1.27877801941517e-32,0.223042890198456,-643.1265378656,0.283045850737759
5C,tank1,4,-1452.65102892666,0,0.998801410911865,97.8573078629194,1.97988022247146e-08,0.0546734753733575,-1550.50833678958,0.067364636044229
5C,tank4,2,-1163.72343322528,0,0.910498859875486,-138.655797715587,1.33500531038873e-146,0.693275277355921,-1025.06763550969,0.119148410831
5C,tank4,4,-1382.44855090053,0,0.853668348366288,-129.112402364523,7.74858524771602e-32,0.21738334776388,-1233.59557729511,0.0933940017372936
5C,tank4,3,-1669.50656734316,0,0.971951313117376,-148.852973605415,2.75135842198541e-104,0.566578576701183,-1540.39416497864,0.0891598610733818
5C,tank7,3,-1455.22759456742,0,0.834942059070007,-122.279066958975,1.11098033022551e-38,0.260154650452514,-1282.48162316346,0.0840274520737936
5C,tank7,2,-1245.35882935989,0,0.958506551669029,-172.745971403951,0,0.95813643523803,-1123.07976240092,0.138711805249529
5C,tank7,4,-1299.1258005194,0,0.959757019895316,-153.579631304447,2.27120787025695e-261,0.880439811090494,-1145.54616921496,0.11821767471868
