term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
lmAllSlopeResultsNullTemperature,9,248.097421060385,273.109532498389,-115.048710530192,230.097421060385,NA,NA,NA
lmAllSlopeResults,13,194.806443844809,230.935049255259,-84.4032219224043,168.806443844809,61.2909772155763,4,1.55290614319056e-12
lmAllSlopeResultsNullDay,10,200.323987050629,228.115221981745,-90.1619935253147,180.323987050629,NA,NA,NA
lmAllSlopeResults,13,194.806443844809,230.935049255259,-84.4032219224043,168.806443844809,11.5175432058207,3,0.0092325592087975
lmAllSlopeResultsNullInteraction,11,198.936841269709,229.507199693936,-88.4684206348545,176.936841269709,NA,NA,NA
lmAllSlopeResults,13,194.806443844809,230.935049255259,-84.4032219224043,168.806443844809,8.13039742490037,2,0.0171595791127836
