Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
15-033_R1_001	4.574905509335065					
15-033_R1_001_val_1		81.16758531652505	43.0	144.48188804449964	27.27272727272727	46374479.0
15-033_R2_001	3.642627463283813					
15-033_R2_001_val_2		80.6438401683153	43.0	144.28480194893402	36.36363636363637	46374479.0
15-091_R1_001	8.628848087280694					
15-091_R1_001_val_1		79.07810308522079	41.0	139.15879715455642	27.27272727272727	44028566.0
15-091_R2_001	7.048445355646317					
15-091_R2_001_val_2		79.52787274737652	41.0	138.96185531002757	36.36363636363637	44028566.0
15-092_R1_001	10.827939816831886					
15-092_R1_001_val_1		78.9336616113382	42.0	134.49024724479136	27.27272727272727	49068698.0
15-092_R2_001	10.223367924936563					
15-092_R2_001_val_2		79.512905530412	42.0	134.3173520723945	36.36363636363637	49068698.0
15-152_R1_001	6.520660899561959					
15-152_R1_001_val_1		78.40282452853843	43.0	141.84621605573324	27.27272727272727	32395456.0
15-152_R2_001	5.563288551524661					
15-152_R2_001_val_2		77.2705273885964	43.0	141.3771751816057	36.36363636363637	32395456.0
15-154_R1_001	6.495478828257814					
15-154_R1_001_val_1		80.21826952451079	42.0	141.886847870627	27.27272727272727	50128301.0
15-154_R2_001	5.2469172620041995					
15-154_R2_001_val_2		81.03134678305699	41.0	141.68980817841802	36.36363636363637	50128301.0
15-161_R1_001	8.865074660210455					
15-161_R1_001_val_1		79.05354831324553	42.0	138.60708582883365	27.27272727272727	52307981.0
15-161_R2_001	7.477353410416064					
15-161_R2_001_val_2		79.79956047499746	42.0	138.42685964117024	36.36363636363637	52307981.0
25-046_R1_001	5.03601826822722					
25-046_R1_001_val_1		79.4273553840631	43.0	143.8253708042729	27.27272727272727	43865460.0
25-046_R2_001	4.172398776435707					
25-046_R2_001_val_2		80.35527152741967	42.0	143.61495196904352	36.36363636363637	43865460.0
25-047_R1_001	43.38224354373743					
25-047_R1_001_val_1		72.42485260881551	43.0	125.286973491516	27.27272727272727	26042719.0
25-047_R2_001	12.290644737793235					
25-047_R2_001_val_2		73.32381771191962	44.0	125.1387178888656	45.45454545454545	26042719.0
25-048_R1_001	5.456227494101272					
25-048_R1_001_val_1		73.80471862903548	44.0	144.91044225393188	27.27272727272727	27342459.0
25-048_R2_001	4.005609001245751					
25-048_R2_001_val_2		74.39442980284626	44.0	144.65490283810976	36.36363636363637	27342459.0
25-049_R1_001	5.153129583187872					
25-049_R1_001_val_1		80.9509638876952	40.0	143.6742065301242	27.27272727272727	38084023.0
25-049_R2_001	4.3096094805133305					
25-049_R2_001_val_2		79.57417443824022	40.0	143.2041832607863	36.36363636363637	38084023.0
25-050_R1_001	4.8800044703509					
25-050_R1_001_val_1		79.0494113707139	43.0	143.62768001342405	27.27272727272727	52562330.0
25-050_R2_001	4.133854050614218					
25-050_R2_001_val_2		80.01298401157469	43.0	143.42373671410687	36.36363636363637	52562330.0
25-051_R1_001	11.234803109601074					
25-051_R1_001_val_1		73.67031737939669	45.0	137.07025052288094	18.181818181818183	52285803.0
25-051_R2_001	8.710578973102413					
25-051_R2_001_val_2		74.78000100539505	45.0	136.86232668168068	36.36363636363637	52285803.0
25-052_R1_001	4.643265974819439					
25-052_R1_001_val_1		76.49689464049467	42.0	144.2678343318775	27.27272727272727	30059929.0
25-052_R2_001	3.6690886994349663					
25-052_R2_001_val_2		76.24437140010673	42.0	144.03939673310606	36.36363636363637	30059929.0
25-053_R1_001	7.7194742247683985					
25-053_R1_001_val_1		80.40379474018775	43.0	140.96519478102928	27.27272727272727	50603388.0
25-053_R2_001	6.288466419079242					
25-053_R2_001_val_2		81.20274776382817	43.0	140.789321418558	36.36363636363637	50603388.0
25-054_R1_001	5.553418800426571					
25-054_R1_001_val_1		77.77335061335219	45.0	142.72715344077866	27.27272727272727	50161131.0
25-054_R2_001	4.738907452050702					
25-054_R2_001_val_2		78.66718453900631	45.0	142.5008559914648	36.36363636363637	50161131.0
25-055_R1_001	4.91676613850413					
25-055_R1_001_val_1		76.22139688531054	43.0	145.93923232231765	27.27272727272727	32069631.0
25-055_R2_001	2.553304693257963					
25-055_R2_001_val_2		77.57855860487493	43.0	145.72346519983344	36.36363636363637	32069631.0
25-056_R1_001	5.737893739061675					
