Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
15-161_R1_001 - Adapter 1	9195873	2410847	1079455	439993	348358	309986	312217	299108	296868	299673	300777	307224	314237	316318	345021	322601	328350	323933	326851	322441	316691	313279	327020	327193	329327	323552	322070	314873	305948	295599	299806	302883	298337	301854	299803	299958	297564	303501	283017	281888	270408	267561	258383	353218	256770	356916	128623	1040111	560762	96301	87644	185783	33672	184244	23935	63957	26471	74093	229040	27086	90652	9556	8797	55502	140348	17412	5617	24074	38156	39163	30105	13410	11549	29729	32265	30277	28244	26184	24107	21428	19359	17095	15107	13927	12781	12817	11443	10537	9354	8634	7646	7148	6163	5432	4713	4372	4291	4122	3631	3214	2834	2475	2301	1967	1785	1666	1747	1578	1387	1212	1071	940	755	799	743	699	533	529	571	774	845	532	313	251	268	219	235	286	308	1221	54644	363	294	511	290	287	328	613	350	455	817	478	767	769	806	1122	1303	1306	11682	804694
15-161_R2_001 - Adapter 1	9638952	2599428	989661	464682	348717	311560	313243	299928	294381	301587	299215	316909	305273	318428	353314	311619	328498	326015	359734	325520	293327	300738	325351	351508	313977	326480	353047	301957	305342	318976	265573	307989	319769	280185	296291	376054	296941	296594	218739	260037	263905	272086	270218	232088	323690	206768	202535	257521	191635	184245	186666	205485	142713	170555	166632	142805	168474	184525	110597	136938	92552	108490	79616	110127	66251	75656	81001	59528	46490	79123	21855	40000	41520	42644	42825	13872	24344	25834	23952	21429	19312	16973	15038	13869	12451	12425	11338	10464	9331	8569	7565	7017	6023	5311	4562	4278	4158	4040	3550	3154	2762	2419	2278	1875	1753	1657	1734	1565	1379	1207	1027	915	753	803	730	670	527	510	548	738	774	496	294	229	249	224	248	275	299	1420	52740	288	231	414	220	208	235	520	242	332	687	338	612	582	546	849	773	585	414	17018
25-046_R1_001 - Adapter 1	8964531	2397300	970668	377488	272640	232767	229922	222155	212005	211307	207483	207234	208117	206647	221622	206517	204123	200332	199429	193068	187308	181646	186629	177122	182877	173109	167117	163848	154423	145972	144393	143228	140040	142658	129959	134031	124883	128229	117399	113470	106720	102903	99557	128614	87846	125498	31846	161469	216281	47386	36473	72704	19029	76012	12138	28989	17873	23385	71310	16274	28971	2656	4588	14498	39139	2549	1542	10388	11654	11676	9105	3701	2610	6504	7236	6956	6334	6146	5463	4819	4495	4125	3546	3234	3604	2914	2649	2486	2338	2034	1856	1773	1603	1386	1228	1133	1153	1132	1024	941	876	1058	776	684	615	625	708	1353	584	711	535	590	528	612	833	529	506	500	604	1654	1628	945	379	246	493	227	279	245	357	2118	123331	445	248	306	226	192	239	304	194	264	445	274	489	500	556	691	846	877	7609	440282
25-046_R2_001 - Adapter 1	9508119	2593033	958471	403762	276599	234413	230590	222276	210013	212315	206486	212767	202631	207339	226173	198406	204830	201113	216463	196214	173544	175115	185752	191876	171776	173818	183532	153526	153891	155713	128148	144372	149820	127155	132702	161595	126825	127014	89467	105504	104496	104738	102940	86179	117536	73592	71007	89284	65542	62543	60376	65605	45342	52280	50416	43010	47467	50006	34564	36163	26362	29948	20557	29135	17084	19446	20082	14698	11447	19152	5267	9426	9738	9601	9886	3388	5470	6053	5381	4846	4463	4015	3501	3142	2906	2795	2627	2455	2309	1997	1832	1705	1522	1330	1175	1102	1113	1114	1010	898	865	976	750	639	623	597	685	1178	537	626	467	519	448	540	700	492	474	446	559	1435	1393	884	362	220	485	234	282	356	432	2750	117303	423	214	256	190	144	172	261	159	200	383	213	413	389	446	535	553	474	254	8930
25-047_R1_001 - Adapter 1	3297090	883429	409271	167833	136281	122983	123178	117588	117754	119005	120069	122848	128405	130529	141334	133023	134141	132249	136032	136965	132763	132354	137969	137441	142243	140008	138845	137870	135741	134458	139951	142126	139073	141725	144487	149367	148671	149502	146858	149293	150605	149473	157868	237126	178270	252026	104896	1225258	494453	106680	85194	178589	33413	164040	21730	49268	29138	72011	238432	35433	92625	12709	15066	77723	224404	39999	10759	53214	84632	96508	84436	44954	32948	87934	107102	111520	112787	111689	109431	106161	102814	99933	95454	91362	92434	94766	95909	92099	88988	84220	80862	78315	68897	65110	60612	58381	56891	56569	52710	47722	42139	36153	32852	28738	25360	23801	22915	20813	19244	17610	14735	12850	10430	9378	8332	8288	6866	6663	5974	6034	7150	5274	4228	2720	2227	1936	2349	2367	3052	4196	24682	3154	2894	13617	4259	3169	4658	9412	4449	4634	9347	6407	6911	7431	7704	9573	13980	18342	235955	12045687
25-047_R2_001 - Adapter 1	3608894	988050	388523	181465	138831	124322	123740	117961	117067	119516	119940	126124	126153	131645	144408	128639	135004	133721	148170	142841	122349	128424	137943	150170	134479	140793	154515	131802	132953	134454	134095	137863	141815	163702	165305	131951	137592	148506	143197	147639	153531	130533	148161	142924	171795	142952	142979	166018	144523	136194	140315	152603	131485	143316	153285	140026	162098	180688	140536	154577	141817	142156	125547	160600	128223	141543	148687	135199	116282	164851	83448	113667	126443	136010	149898	45938	106076	111650	109775	106460	103395	100273	95339	91415	91772	94804	95975	91849	88937	83479	80789	77280	67903	63806	59532	57060	55943	55498	51686	46940	41392	35488	32093	28150	24943	23400	22742	20662	19050	17524	14544	12594	10198	9165	8144	8066	6576	6402	5679	5611	6683	4821	3809	2220	1655	1269	1535	1396	1998	3064	22897	1735	1359	12136	2602	1480	2922	7682	2454	2443	7109	3735	3979	3816	3167	4637	3614	4156	6415	301410
25-048_R1_001 - Adapter 1	5786809	1616676	613318	231464	156215	130635	127602	121932	119378	118473	116369	115728	115291	113620	119239	111233	109622	105340	104908	102405	98016	95294	95138	92928	92538	88860	85176	82844	77027	73913	72473	71893	69125	67276	65026	63333	61404	58755	54836	52804	49011	48026	45355	59857	42599	56432	18097	138130	55857	13669	13034	30304	5349	19559	4333	7433	3959	8693	22371	3646	8587	979	1240	5905	13567	1176	764	2952	3763	3793	2586	1194	1423	2856	3156	3088	2868	2757	2457	2220	2076	1904	1683	1586	1507	1441	1298	1373	1219	1129	1025	994	812	769	721	692	617	685	648	604	534	561	478	480	438	456	478	733	425	490	459	436	440	462	619	604	541	538	648	1584	2464	1190	408	210	246	228	260	420	584	3677	252146	609	251	277	189	163	187	275	187	236	363	263	341	398	459	528	758	851	8299	449980
25-048_R2_001 - Adapter 1	5994450	1664429	596851	242046	159149	131702	128160	121779	118070	119066	115784	118913	112008	114095	121193	107375	109449	105638	113261	104529	90103	90758	94280	95292	90376	89098	95103	77212	74780	73583	69463	70822	71784	71980	57480	64908	58039	60331	65761	41071	46209	43843	45488	39934	45935	35574	33914	35628	29714	26433	26284	25802	21033	21635	20882	17809	18154	19707	13629	13357	11270	11479	9266	10950	7629	8056	7730	6285	5378	7047	3212	4088	4313	4103	4164	1272	2698	2717	2449	2165	2070	1885	1660	1552	1386	1393	1321	1350	1216	1120	1016	975	784	749	676	679	593	641	656	589	533	540	466	472	419	443	478	680	414	455	430	424	417	447	553	568	487	507	581	1492	2302	1128	382	217	218	217	222	435	517	3899	243417	536	200	222	126	101	131	214	119	173	309	183	239	285	299	369	406	400	230	9218
25-049_R1_001 - Adapter 1	7826486	2027127	1101210	344001	237773	206320	203168	196144	190091	187898	182414	184437	189795	192237	207325	189674	186639	180852	180458	177311	166043	158128	165084	158464	160568	154698	152961	144285	136065	129686	129072	128760	125622	121199	119185	116199	115487	115157	105458	103013	97209	88695	87759	115690	76158	102784	24009	91752	76535	48689	53382	61504	37385	55517	31769	41478	35804	33766	44953	31914	40452	18845	18133	20401	38061	12465	7628	15822	13759	13694	9724	3663	4417	6895	6654	6414	5858	5590	5073	4586	3994	3560	3193	2785	2735	2526	2489	2229	2013	1954	1704	1685	1478	1307	1129	1037	1014	990	903	800	741	606	646	578	540	535	510	501	444	436	410	352	315	297	269	276	222	221	236	287	328	249	160	105	111	82	91	103	139	360	16611	168	135	197	135	127	125	270	139	179	376	215	294	342	313	374	554	692	8395	468920
25-049_R2_001 - Adapter 1	8497031	2117475	779558	348299	236675	207990	204138	196169	186289	186448	179676	186201	183483	191127	207603	182383	183440	179988	179594	200669	143519	150016	162158	167834	150165	152894	165334	131518	132948	122955	129775	122754	133972	111391	116143	119859	121868	110264	98612	103563	91526	83100	85850	77524	86720	72507	67299	75166	61107	55459	53772	53792	44160	44782	46584	37818	39983	44570	31466	32343	28089	29044	22449	25623	17636	18602	17683	15735	12354	15434	7187	8875	8996	9045	8769	2458	5412	5507	4984	4493	3895	3502	3120	2744	2555	2464	2431	2187	1995	1868	1648	1613	1433	1243	1079	991	996	931	895	767	700	585	633	568	512	519	509	510	430	423	374	332	276	276	239	251	216	213	222	272	328	224	152	97	87	75	74	90	100	370	15828	105	105	175	93	71	90	212	94	127	309	144	215	234	177	250	272	275	260	10592
