Sample	Reads passing filters
15-033_R1_001	46978803.0
15-033_R2_001	46978803.0
15-091_R1_001	44844801.0
15-091_R2_001	44844801.0
15-092_R1_001	49473567.0
15-092_R2_001	49473567.0
15-152_R1_001	32902125.0
15-152_R2_001	32902125.0
15-154_R1_001	50881500.0
15-154_R2_001	50881500.0
15-161_R1_001	53205605.0
15-161_R2_001	53205605.0
25-046_R1_001	44456348.0
25-046_R2_001	44456348.0
25-047_R1_001	38555317.0
25-047_R2_001	38555317.0
25-048_R1_001	28073566.0
25-048_R2_001	28073566.0
25-049_R1_001	38621453.0
25-049_R2_001	38621453.0
25-050_R1_001	53096503.0
25-050_R2_001	53096503.0
25-051_R1_001	54025751.0
25-051_R2_001	54025751.0
25-052_R1_001	30427334.0
25-052_R2_001	30427334.0
25-053_R1_001	51745762.0
25-053_R2_001	51745762.0
25-054_R1_001	50701073.0
25-054_R2_001	50701073.0
25-055_R1_001	32933107.0
25-055_R2_001	32933107.0
25-056_R1_001	34438544.0
25-056_R2_001	34438544.0
25-058_R1_001	40283042.0
25-058_R2_001	40283042.0
25-059_R1_001	65914867.0
25-059_R2_001	65914867.0
25-060_R1_001	56349866.0
25-060_R2_001	56349866.0
25-109_R1_001	45138283.0
25-109_R2_001	45138283.0
25-110_R1_001	35508585.0
25-110_R2_001	35508585.0
25-112_R1_001	46964893.0
25-112_R2_001	46964893.0
25-113_R1_001	32410729.0
25-113_R2_001	32410729.0
25-114_R1_001	67866400.0
25-114_R2_001	67866400.0
25-115_R1_001	39222905.0
25-115_R2_001	39222905.0
25-116_R1_001	44276886.0
25-116_R2_001	44276886.0
25-117_R1_001	38909636.0
25-117_R2_001	38909636.0
25-119_R1_001	50999426.0
25-119_R2_001	50999426.0
25-120_R1_001	56223361.0
25-120_R2_001	56223361.0
25-167_R1_001	37431573.0
25-167_R2_001	37431573.0
25-168_R1_001	44104075.0
25-168_R2_001	44104075.0
25-169_R1_001	57727336.0
25-169_R2_001	57727336.0
25-170_R1_001	49733846.0
25-170_R2_001	49733846.0
25-171_R1_001	47552922.0
25-171_R2_001	47552922.0
25-172_R1_001	37267613.0
25-172_R2_001	37267613.0
25-174_R1_001	36240014.0
25-174_R2_001	36240014.0
25-175_R1_001	37714009.0
25-175_R2_001	37714009.0
25-177_R1_001	43793074.0
25-177_R2_001	43793074.0
25-179_R1_001	42313327.0
25-179_R2_001	42313327.0
25-180_R1_001	54512346.0
25-180_R2_001	54512346.0
25-185_R1_001	27001371.0
25-185_R2_001	27001371.0
25-186_R1_001	25992262.0
25-186_R2_001	25992262.0
25-193_R1_001	27463768.0
25-193_R2_001	27463768.0
25-194_R1_001	30767787.0
25-194_R2_001	30767787.0
25-195_R1_001	34083306.0
25-195_R2_001	34083306.0
25-202_R1_001	49247884.0
25-202_R2_001	49247884.0
25-203_R1_001	35893775.0
25-203_R2_001	35893775.0
5-002_R1_001	43638842.0
5-002_R2_001	43638842.0
5-003_R1_001	46712444.0
5-003_R2_001	46712444.0
5-004_R1_001	52045755.0
5-004_R2_001	52045755.0
5-005_R1_001	44362652.0
5-005_R2_001	44362652.0
5-006_R1_001	33639491.0
5-006_R2_001	33639491.0
5-007_R1_001	30362109.0
5-007_R2_001	30362109.0
5-008_R1_001	50630229.0
5-008_R2_001	50630229.0
5-009_R1_001	32811107.0
5-009_R2_001	32811107.0
5-010_R1_001	34495215.0
5-010_R2_001	34495215.0
5-012_R1_001	43132548.0
5-012_R2_001	43132548.0
5-014_R1_001	49165263.0
5-014_R2_001	49165263.0
5-015_R1_001	34105726.0
5-015_R2_001	34105726.0
5-061_R1_001	36937307.0
5-061_R2_001	36937307.0
5-063_R1_001	42677541.0
5-063_R2_001	42677541.0
5-066_R1_001	32128669.0
5-066_R2_001	32128669.0
5-067_R1_001	45059618.0
5-067_R2_001	45059618.0
5-069_R1_001	37654463.0
5-069_R2_001	37654463.0
5-071_R1_001	42689125.0
5-071_R2_001	42689125.0
5-073_R1_001	35029787.0
5-073_R2_001	35029787.0
5-074_R1_001	36764035.0
5-074_R2_001	36764035.0
5-075_R1_001	27906937.0
5-075_R2_001	27906937.0
5-121_R1_001	39640472.0
5-121_R2_001	39640472.0
5-122_R1_001	23488608.0
5-122_R2_001	23488608.0
5-123_R1_001	44842251.0
5-123_R2_001	44842251.0
5-124_R1_001	52726370.0
5-124_R2_001	52726370.0
5-125_R1_001	38616225.0
5-125_R2_001	38616225.0
5-126_R1_001	43719491.0
5-126_R2_001	43719491.0
5-127_R1_001	33648778.0
5-127_R2_001	33648778.0
5-128_R1_001	40849640.0
5-128_R2_001	40849640.0
5-130_R1_001	47240071.0
5-130_R2_001	47240071.0
5-131_R1_001	51805687.0
5-131_R2_001	51805687.0
5-133_R1_001	31058429.0
5-133_R2_001	31058429.0
5-135_R1_001	18080856.0
5-135_R2_001	18080856.0
5-181_R1_001	59966791.0
5-181_R2_001	59966791.0
5-182_R1_001	35284655.0
5-182_R2_001	35284655.0
5-187_R1_001	72023981.0
5-187_R2_001	72023981.0
5-188_R1_001	37262764.0
5-188_R2_001	37262764.0
5-189_R1_001	31982944.0
5-189_R2_001	31982944.0
5-197_R1_001	55144921.0
5-197_R2_001	55144921.0
