Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
15-033_R1_001_val_1	15-033_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46374479.0	0.0	20-150	43.0	18.83241468347495	144.48188804449964	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-033_R2_001_val_2	15-033_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46374479.0	0.0	20-150	43.0	19.356159831684707	144.28480194893402	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
15-091_R1_001_val_1	15-091_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44028566.0	0.0	20-150	41.0	20.921896914779218	139.15879715455642	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-091_R2_001_val_2	15-091_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44028566.0	0.0	20-150	41.0	20.472127252623476	138.96185531002757	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
15-092_R1_001_val_1	15-092_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49068698.0	0.0	20-150	42.0	21.066338388661805	134.49024724479136	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-092_R2_001_val_2	15-092_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49068698.0	0.0	20-150	42.0	20.487094469588	134.3173520723945	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
15-152_R1_001_val_1	15-152_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32395456.0	0.0	20-150	43.0	21.59717547146157	141.84621605573324	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-152_R2_001_val_2	15-152_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32395456.0	0.0	20-150	43.0	22.72947261140359	141.3771751816057	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
15-154_R1_001_val_1	15-154_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50128301.0	0.0	20-150	42.0	19.781730475489212	141.886847870627	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-154_R2_001_val_2	15-154_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50128301.0	0.0	20-150	41.0	18.968653216943014	141.68980817841802	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
15-161_R1_001_val_1	15-161_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52307981.0	0.0	20-150	42.0	20.946451686754465	138.60708582883365	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-161_R2_001_val_2	15-161_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52307981.0	0.0	20-150	42.0	20.20043952500253	138.42685964117024	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-046_R1_001_val_1	25-046_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43865460.0	0.0	20-150	43.0	20.5726446159369	143.8253708042729	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-046_R2_001_val_2	25-046_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43865460.0	0.0	20-150	42.0	19.644728472580326	143.61495196904352	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-047_R1_001_val_1	25-047_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26042719.0	0.0	20-150	43.0	27.575147391184494	125.286973491516	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-047_R2_001_val_2	25-047_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26042719.0	0.0	20-150	44.0	26.67618228808039	125.1387178888656	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-048_R1_001_val_1	25-048_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27342459.0	0.0	20-150	44.0	26.19528137096452	144.91044225393188	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-048_R2_001_val_2	25-048_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27342459.0	0.0	20-150	44.0	25.60557019715374	144.65490283810976	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-049_R1_001_val_1	25-049_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38084023.0	0.0	20-150	40.0	19.0490361123048	143.6742065301242	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-049_R2_001_val_2	25-049_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38084023.0	0.0	20-150	40.0	20.425825561759787	143.2041832607863	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-050_R1_001_val_1	25-050_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52562330.0	0.0	20-150	43.0	20.950588629286106	143.62768001342405	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-050_R2_001_val_2	25-050_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52562330.0	0.0	20-150	43.0	19.987015988425316	143.42373671410687	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-051_R1_001_val_1	25-051_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52285803.0	0.0	20-150	45.0	26.3296826206033	137.07025052288094	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
25-051_R2_001_val_2	25-051_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52285803.0	0.0	20-150	45.0	25.219998994604946	136.86232668168068	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-052_R1_001_val_1	25-052_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30059929.0	0.0	20-150	42.0	23.50310535950532	144.2678343318775	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-052_R2_001_val_2	25-052_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30059929.0	0.0	20-150	42.0	23.755628599893274	144.03939673310606	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-053_R1_001_val_1	25-053_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50603388.0	0.0	20-150	43.0	19.596205259812255	140.96519478102928	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-053_R2_001_val_2	25-053_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50603388.0	0.0	20-150	43.0	18.797252236171836	140.789321418558	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-054_R1_001_val_1	25-054_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50161131.0	0.0	20-150	45.0	22.226649386647814	142.72715344077866	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-054_R2_001_val_2	25-054_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50161131.0	0.0	20-150	45.0	21.33281546099368	142.5008559914648	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-055_R1_001_val_1	25-055_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32069631.0	0.0	20-150	43.0	23.778603114689457	145.93923232231765	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-055_R2_001_val_2	25-055_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32069631.0	0.0	20-150	43.0	22.421441395125076	145.72346519983344	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-056_R1_001_val_1	25-056_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33939555.0	0.0	20-150	43.0	22.236719009475134	142.86050182449358	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-056_R2_001_val_2	25-056_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33939555.0	0.0	20-150	43.0	23.187625369727964	142.40286155784895	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-058_R1_001_val_1	25-058_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38831671.0	0.0	20-150	40.0	20.906260666808432	139.1020556648206	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-058_R2_001_val_2	25-058_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38831671.0	0.0	20-150	40.0	20.27157595662548	138.90834267729556	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
25-059_R1_001_val_1	25-059_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61961030.0	0.0	20-150	44.0	17.79852239175105	138.3920740826936	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-059_R2_001_val_2	25-059_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61961030.0	0.0	20-150	44.0	17.40308293769276	138.22519304472505	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-060_R1_001_val_1	25-060_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53610688.0	0.0	20-150	42.0	17.917482113573488	139.60071823737835	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
