term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
TTRnullTreatment,10,137.04540104078,159.812062230941,-58.52270052039,117.04540104078,NA,NA,NA
TTRmodel,12,125.913076543569,153.233069971761,-50.9565382717844,101.913076543569,15.1323244972113,2,0.000517675350534697
TTRnullDay,10,135.754951726196,158.521612916356,-57.8774758630978,115.754951726196,NA,NA,NA
TTRmodel,12,125.913076543569,153.233069971761,-50.9565382717844,101.913076543569,13.8418751826269,2,0.000986904193813703
TTRnullInteraction,11,134.153122151473,159.19644946065,-56.0765610757367,112.153122151473,NA,NA,NA
TTRmodel,12,125.913076543569,153.233069971761,-50.9565382717844,101.913076543569,10.2400456079046,1,0.00137424189711092
