term,df,sumsq,meansq,statistic,p.value,var,p.adj
Groups,1,61.491221680611,61.491221680611,2.78241548969751,0.0999032847156832,temperature,0.29970985414705
Residuals,68,1502.79607404577,22.0999422653789,NA,NA,temperature,NA
Groups,1,31.8631430371835,31.8631430371835,1.62351983961097,0.206939175747238,timepoint,0.620817527241715
Residuals,68,1334.56559856248,19.6259646847424,NA,NA,timepoint,NA
Groups,3,57.4264868438237,19.1421622812746,1.00270069636066,0.39726710030118,interaction,1
Residuals,66,1259.97988746753,19.0906043555687,NA,NA,interaction,NA
