baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ID	annotation
1	5.55420037126331	3.31106861167769	0.537538031720121	6.15969181023764	7.28866502920175e-10	6.21089330031848e-08	TRINITY_DN1001_c0_g5	NA
2	6.28032809295407	2.52318525957416	0.436880867165049	5.77545378891798	7.67459618728789e-09	4.86187994099896e-07	TRINITY_DN1001_c43_g1	NA
3	1.05849225562941	2.04891825547024	0.637005209669467	3.21648586913975	0.00129770924200013	0.013072305009424	TRINITY_DN100374_c0_g1	NA
4	1.70187031601395	4.01436606049347	0.841936950104542	4.76801268788003	1.86052069311583e-06	5.56920123167273e-05	TRINITY_DN100388_c2_g2	NA
5	3.08610578251193	4.01849177554526	0.640461928415826	6.27436479399322	3.51064543852785e-10	3.29605460836921e-08	TRINITY_DN1003_c0_g1	NA
6	5.33801972084755	2.9764319660065	0.589929584888036	5.04540209925462	4.52568580942532e-07	1.65021239402655e-05	TRINITY_DN10050_c15_g1	NA
7	6.14967740481454	2.41043757209567	0.55327322680867	4.35668573012162	1.32046649043793e-05	0.000295089279840009	TRINITY_DN10051_c0_g2	NA
8	4.54351206796099	2.40495992909435	0.414589291784661	5.80082500139317	6.59894406424987e-09	4.25261667785395e-07	TRINITY_DN10063_c0_g1	NA
9	4.52055267418801	2.58825617923705	0.430163995987834	6.0169056531413	1.7778262647355e-09	1.38268321279964e-07	TRINITY_DN10069_c0_g1	NA
10	3.12769117785988	-2.29652307932468	0.555557437620572	-4.13372753888525	3.56926581928397e-05	0.000681398181343203	TRINITY_DN100700_c0_g3	NA
11	2.49288479679781	-3.21033297663091	1.04502513966464	-3.0720150690931	0.00212618991250793	0.0192978042698665	TRINITY_DN100893_c4_g1	NA
12	2.31045904011259	2.5073951201637	0.648075229920835	3.86898774154659	0.000109288135968064	0.00173594422193341	TRINITY_DN10097_c1_g1	NA
13	1.57005521100886	2.78067457157413	0.579438281967267	4.79891415205323	1.59528149725803e-06	4.87197850639035e-05	TRINITY_DN1011_c4_g1	NA
14	4.26327627507371	-2.39256522852035	0.589247068813745	-4.06037697113536	4.89935483134122e-05	0.000888479808831429	TRINITY_DN10125_c7_g3	NA
15	3.61552584735472	2.10384687969182	0.386738555661916	5.43997191097488	5.32889724198533e-08	2.61102642614176e-06	TRINITY_DN10132_c1_g1	NA
16	25.1782391866728	2.20034079446117	0.310119325402428	7.09514246364972	1.29218303924408e-12	2.35312384540252e-10	TRINITY_DN10134_c2_g2	NA
17	2.32466021658749	2.01734424901035	0.561468399335158	3.59297914432783	0.000326918762924192	0.00428222612167167	TRINITY_DN10134_c6_g1	NA
18	34.4443202651762	2.36856909538979	0.87264643889045	2.71423682012772	0.00664286592945096	0.0466204840790688	TRINITY_DN10136_c2_g2	NA
19	1.66539551968271	2.04192992804566	0.683123942909551	2.98910607546371	0.0027979497642471	0.0239097525308388	TRINITY_DN10149_c1_g1	NA
20	4.08703937011274	2.56174944894135	0.51532721628843	4.9711122719114	6.65698839733595e-07	2.29549708554013e-05	TRINITY_DN1015_c5_g1	NA
21	13.8776151293078	-2.37978012557389	0.851446768858691	-2.7949840349548	0.0051902278266534	0.0385534489954823	TRINITY_DN1015_c65_g1	NA
22	1.63950272097721	2.72782702097922	0.733807420662767	3.71736090991758	0.000201314755215965	0.00287735123972849	TRINITY_DN101617_c0_g1	NA
23	0.945259845994885	2.27600357245491	0.843508107794269	2.69825927151612	0.0069703130150254	0.0483220147439682	TRINITY_DN101753_c0_g1	NA
24	1.01492531554527	2.08165762799935	0.683462202018561	3.04575384249679	0.0023209776738868	0.0206591388841362	TRINITY_DN10195_c0_g1	NA
