Sample	Unique Reads	Duplicate Reads
5-008_R2_001_val_2_val_2	9122429.0	39866406.0
5-009_R1_001_val_1_val_1	6634361.0	24783080.0
5-009_R2_001_val_2_val_2	6553177.0	24864264.0
5-010_R1_001_val_1_val_1	10156436.0	22820956.0
5-010_R2_001_val_2_val_2	9429417.0	23547975.0
5-012_R1_001_val_1_val_1	7485988.0	33593440.0
5-012_R2_001_val_2_val_2	7463243.0	33616185.0
5-014_R1_001_val_1_val_1	9585304.0	37394910.0
5-014_R2_001_val_2_val_2	9213671.0	37766543.0
5-015_R1_001_val_1_val_1	6765415.0	26123181.0
5-015_R2_001_val_2_val_2	6379806.0	26508790.0
5-061_R1_001_val_1_val_1	5403626.0	30181040.0
5-061_R2_001_val_2_val_2	5377399.0	30207267.0
5-063_R1_001_val_1_val_1	7969517.0	33129062.0
5-063_R2_001_val_2_val_2	7762361.0	33336218.0
5-066_R1_001_val_1_val_1	5585677.0	12878946.0
5-066_R2_001_val_2_val_2	5460839.0	13003784.0
5-067_R1_001_val_1_val_1	8707221.0	34409022.0
5-067_R2_001_val_2_val_2	8543926.0	34572317.0
5-069_R1_001_val_1_val_1	6240235.0	29145529.0
5-069_R2_001_val_2_val_2	6284014.0	29101750.0
5-071_R1_001_val_1_val_1	7200863.0	34077218.0
5-071_R2_001_val_2_val_2	7076028.0	34202053.0
5-073_R1_001_val_1_val_1	6165543.0	24178419.0
5-073_R2_001_val_2_val_2	5994509.0	24349453.0
5-074_R1_001_val_1_val_1	7054581.0	28005906.0
5-074_R2_001_val_2_val_2	6777369.0	28283118.0
5-075_R1_001_val_1_val_1	5678473.0	20762843.0
5-075_R2_001_val_2_val_2	5286340.0	21154976.0
5-121_R1_001_val_1_val_1	7968586.0	30111418.0
5-121_R2_001_val_2_val_2	7692948.0	30387056.0
5-122_R1_001_val_1_val_1	4392976.0	18073671.0
5-122_R2_001_val_2_val_2	4400013.0	18066634.0
5-123_R1_001_val_1_val_1	8511287.0	34938919.0
5-123_R2_001_val_2_val_2	8212311.0	35237895.0
5-124_R1_001_val_1_val_1	8800408.0	42185904.0
5-124_R2_001_val_2_val_2	8827938.0	42158374.0
5-125_R1_001_val_1_val_1	5852284.0	30377099.0
5-125_R2_001_val_2_val_2	5629555.0	30599828.0
5-126_R1_001_val_1_val_1	8033982.0	32677064.0
5-126_R2_001_val_2_val_2	7660563.0	33050483.0
5-127_R1_001_val_1_val_1	6519462.0	18638220.0
5-127_R2_001_val_2_val_2	6228827.0	18928855.0
5-128_R1_001_val_1_val_1	8603459.0	31013841.0
5-128_R2_001_val_2_val_2	8587767.0	31029533.0
5-130_R1_001_val_1_val_1	7902184.0	36959478.0
5-130_R2_001_val_2_val_2	7619680.0	37241982.0
5-131_R1_001_val_1_val_1	7715270.0	42479151.0
5-131_R2_001_val_2_val_2	8070964.0	42123457.0
5-133_R1_001_val_1_val_1	6685245.0	22967761.0
5-133_R2_001_val_2_val_2	6338464.0	23314542.0
5-135_R1_001_val_1_val_1	4101102.0	13169403.0
5-135_R2_001_val_2_val_2	4056505.0	13214000.0
5-181_R1_001_val_1_val_1	8446534.0	48807945.0
5-181_R2_001_val_2_val_2	8381481.0	48872998.0
5-182_R1_001_val_1_val_1	7660458.0	26473059.0
5-182_R2_001_val_2_val_2	7316391.0	26817126.0
5-187_R1_001_val_1_val_1	13114958.0	56016728.0
5-187_R2_001_val_2_val_2	12870433.0	56261253.0
5-188_R1_001_val_1_val_1	7991062.0	27701334.0
5-188_R2_001_val_2_val_2	7969854.0	27722542.0
5-189_R1_001_val_1_val_1	6594992.0	23845757.0
5-189_R2_001_val_2_val_2	6420597.0	24020152.0
5-197_R1_001_val_1_val_1	11175986.0	41404371.0
5-197_R2_001_val_2_val_2	10739847.0	41840510.0
