Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
15-161_R1_001_val_1 - Adapter 1	3832876	1149540	393751	127330	46974	12351	7007	3187	3702	8050	11211	7485	8069	14407	11155	21074	8290	9845	10972	9765	12649	13000	19823	8715	15254	15470	23317	19563	13688	15815	9146	110361	9143	81614	45341	18474	22435	12008	10906	22589	18242	8129	7465	9340	8093	8965	9806	7463	8919	14731	7418	8712	11028	9500	13935	8890	11407	16615	13859	13115	9842	16009	14027	15757	12963	14402	12407	13140	15909	11998	12977	18793	19830	11204	10516	13667	11759	13628	11720	13796	25019	11849	17171	14023	10670	18807	13415	17378	9551	13065	14586	13117	17620	13919	23982	14493	9522	13463	9662	8671	10899	9009	15112	14789	12357	15859	18603	22127	10369	10883	11588	9452	22239	25316	9991	19435	10990	31542	16292	12877	21823	7393	9910	11619	15554	9422	11759	12539	19584	16820	102412	33133	12748	36596	14250	11826	8838	8092	7741	9372	12347	21734	207023	14562	187699	23420	6066	70100	4398	11142
15-161_R2_001_val_2 - Adapter 1	10143116	2699434	1110723	306230	128910	34095	6141	3437	2343	61091	15197	18235	16215	26742	37987	62329	36624	14242	13955	13121	8724	12803	10831	11208	12160	31738	15297	26169	30735	19582	8866	9745	11495	11665	11823	10164	14432	8215	13285	10901	20922	13409	11368	13684	16171	13834	16335	10406	10275	8880	13478	10763	13512	11030	11097	12262	13610	9686	8338	9108	12132	10275	16311	13471	12030	10878	13414	12589	9516	10071	14506	10757	9192	13205	15508	10486	9861	14604	17399	7559	9573	10727	7665	12695	14218	15028	24707	11168	16761	8219	36532	17640	20369	11550	10210	35054	42104	26342	36483	23479	7754	16382	12481	17314	7533	22820	9001	10444	11581	11027	6887	12117	7329	7735	8143	6947	8351	8999	6792	14074	8143	8321	9392	15546	6441	16079	21040	9816	8591	30131	6712	7441	7962	7426	16823	7632	8848	17578	7929	8329	10449	9709	5537	7937	8246	6931	5343	7622	12119	19228
25-046_R1_001_val_1 - Adapter 1	3067330	926615	322248	102067	37519	10137	4808	2174	2256	5560	8490	6537	7276	13404	9611	18229	7709	9030	10073	9051	11453	10544	17843	6846	11979	14359	19826	14817	12438	13428	7399	84638	7954	64032	36201	15101	24894	11404	7744	19704	27484	7628	6452	8273	6776	9208	8063	6033	6957	13480	5993	7886	11564	7941	11554	6879	9007	13720	11230	10203	8638	10362	8495	9318	9482	10336	9644	11603	10470	10109	12371	15325	12991	7402	8205	11213	9748	10541	8971	11901	21492	9166	13683	10290	7249	14259	11729	14585	8544	10208	13530	9784	12734	13852	23559	15011	8592	11311	8358	7386	8474	6993	11468	11263	11798	13325	19285	17292	8674	9477	9405	8608	13277	18722	8359	15542	9818	45740	12520	16198	24272	8531	8142	9711	13669	7091	8023	9570	9587	12608	31918	26119	9989	36109	15553	12517	9537	6983	7302	9036	9998	12605	71451	10839	69462	14618	5752	31122	3361	4946
25-046_R2_001_val_2 - Adapter 1	8819143	2480247	1005561	292510	115432	29667	6046	2785	2493	40566	9302	11019	13322	12845	16639	39396	17037	11624	12450	11192	7531	9540	8875	8622	9419	21065	12259	12393	12661	15200	7296	8224	9580	9873	10147	8930	8217	7107	16061	8224	19177	11198	8549	9327	11791	8533	12293	8005	8522	7668	10281	8451	9490	9010	8171	10262	10415	7693	7796	7477	10426	8702	13697	10610	10169	9564	9979	8899	7778	9337	11946	8639	7669	11102	11837	9182	8463	11973	16426	6431	8124	9192	6614	11114	12169	13505	22139	9969	12580	7024	29518	15165	18611	9983	7934	25871	32376	20623	26349	20656	7382	15465	10095	13128	6694	18390	7876	9503	9824	9425	7326	11111	6445	7251	7975	7136	7417	9132	6364	14544	8093	8018	9521	13061	6237	12651	16632	10655	8546	21888	6362	6819	6968	6801	12816	6514	7573	12978	8279	9125	10024	8795	5155	7310	7826	7378	5217	6124	12233	15253
25-047_R1_001_val_1 - Adapter 1	1896080	490084	163786	61191	19302	6169	4186	1792	2294	4527	6033	3878	3966	6349	4800	8411	3681	4582	4753	4850	5303	5756	7519	4326	7115	6518	9890	8177	5771	6628	4513	42074	4685	29905	17822	8384	7799	5405	5038	8842	7109	4449	4188	5361	4249	4383	5080	3616	4364	6196	3790	4914	6873	5409	6612	5489	7021	7849	8148	9494	5525	8506	11383	11717	5692	8411	6863	8642	10486	5608	5943	7615	9941	6119	5296	5502	4638	4911	4910	5056	8803	5204	6448	6099	4752	7244	5192	6454	3669	4435	5313	4761	6073	5017	7766	5335	4557	4301	3603	3459	3847	3288	5391	4555	4225	5344	5950	8021	3603	3664	3724	3194	7454	8110	3548	5383	3988	10202	5867	5548	7220	2726	3272	3695	5370	3330	4156	4963	6539	5181	31345	10857	4148	12370	4956	4193	3340	2929	3101	3769	4578	7649	70794	5711	60843	6713	1931	23044	1723	4559
25-047_R2_001_val_2 - Adapter 1	4515399	1039440	403546	98393	43134	11728	2218	980	928	22423	6508	8897	6495	14685	20137	30621	20161	6725	7317	6348	4471	6307	5150	5162	6591	14449	9418	18600	16509	8846	4230	4730	5120	5407	5065	4522	5717	4371	5998	5210	9374	5771	4989	5671	6411	5924	6247	4397	4475	3865	5498	5113	6090	5224	5088	5155	6011	4636	4298	4139	5068	4877	6467	5715	6437	5949	5969	5242	4149	4053	5507	4647	4101	5425	5721	4241	4587	6346	6554	3649	4060	4207	3504	5014	6124	5962	8495	5218	6447	3544	13766	6682	8180	4657	3924	13274	16169	9959	13879	8411	3822	6174	5100	6508	2793	8471	3347	4103	4394	3805	2709	4104	2636	2884	3200	2952	3014	3698	2675	4345	2750	3071	3375	4958	2679	5680	7008	3419	3153	8974	2499	2881	2624	2954	5317	2507	2959	5069	2529	2845	3653	2922	1861	2580	2477	2170	1717	2653	3922	8676
25-048_R1_001_val_1 - Adapter 1	1888430	579866	197088	64291	20677	6464	2817	1029	1367	3407	4948	4750	4555	8597	5793	10434	4811	5834	5866	5766	7323	6151	11852	4463	6646	9908	11849	8183	8091	7121	4570	40375	5049	27699	16044	8290	9026	6054	4562	9955	11930	4691	4137	5019	4478	5272	4962	3648	4592	7412	3941	5247	6256	4672	8378	4435	5591	7293	6697	5938	5435	6228	5143	5718	6062	5872	6557	7183	6440	7695	9402	9861	7962	4942	5133	6895	5884	6569	5714	7965	13429	5986	8702	5962	4457	9123	7556	8505	5529	6270	8964	7113	7802	7704	14542	8736	5141	6816	5682	4855	5611	4821	6606	7318	7977	8584	11254	10184	5703	6202	6195	5718	7861	12463	5801	9065	6098	25831	7223	10796	14804	5343	5273	5500	7305	4642	4861	6555	5522	8690	19425	17499	5931	16498	8004	6718	5594	4621	4809	6235	6466	8001	39367	6816	31512	7659	3201	10273	2495	2404
25-048_R2_001_val_2 - Adapter 1	5686493	1563103	577719	196990	70958	19195	3991	1816	1730	17748	4846	5468	7300	7102	9654	22568	8955	6983	7671	6461	4939	5860	5947	5031	5622	10971	7057	7287	7419	8097	4733	5190	6055	6201	6131	5669	5005	4472	10556	4921	10356	6904	5695	6043	8138	5445	7074	5271	5181	4667	5867	5289	5422	5564	5568	6147	5550	4938	6259	4918	7605	5716	6801	6613	6171	5122	5782	5805	4969	5547	6827	5431	4834	6472	6745	5698	5056	7215	8972	4029	5191	5588	3905	6687	7212	6993	12437	5919	7686	4690	15506	7855	8827	5577	4988	13952	17161	10066	12546	10389	4856	9124	5805	7143	4525	9364	4644	6005	5741	6296	5612	8497	4657	4997	5337	4630	4968	5823	4140	9453	5141	5418	6315	7935	3957	6533	8077	7032	5193	10986	4255	4784	4932	4929	7866	4858	5038	7552	5743	5833	6084	5597	3460	4801	5333	4601	3375	3821	7579	10995
25-049_R1_001_val_1 - Adapter 1	2597761	907960	284349	95329	42873	7474	3469	1501	2126	4935	7588	5207	5714	10512	8148	20091	5277	6307	8782	6724	12386	11818	20304	5938	9705	18197	19365	16232	10160	12127	7211	119468	6500	109613	60572	21000	30178	11895	6301	26549	21734	5349	5160	5946	5361	6504	5920	4775	5544	11897	4834	6597	9008	7249	10849	5312	6407	10617	8849	8457	6503	9396	7351	8624	7415	7608	7448	8042	8897	7491	9981	10429	10288	6303	6231	8309	8401	10379	7128	10386	17609	7792	12209	9573	6212	12911	8856	10128	6147	7975	8977	10209	13711	10198	17853	8667	6730	9849	6763	5993	7268	5987	8239	9566	8111	10289	12670	16508	7919	8485	8655	6728	13529	23264	9168	16823	7482	31190	10392	11401	19447	5394	7778	8046	9959	6798	7976	8811	12427	11600	76471	42917	9221	27298	14794	9741	8533	6513	6134	7396	8789	14969	158856	9422	155823	18313	3636	65642	2689	10102
25-049_R2_001_val_2 - Adapter 1	7733603	2307785	1044451	273334	118125	30392	5237	3121	2410	55283	11973	12734	12901	17614	23717	45258	22198	10880	10183	10366	6553	9925	7391	7944	8680	28104	10447	14603	17400	17646	6191	6558	9090	9669	10018	7639	11856	5552	9109	7483	14655	10461	7950	9245	11597	8580	13628	7114	7582	6375	10884	6653	8734	8404	6984	9268	9652	6626	5546	6427	8883	7368	13040	8964	8277	8374	9910	8770	6836	7913	11920	7343	6937	12103	14320	9193	8777	8548	14433	5583	7305	8874	5315	10429	12332	13781	23618	9001	15082	6079	42306	17404	21379	9335	7005	32393	39519	24472	35227	22377	6358	16455	11257	17478	6059	24266	7286	7161	9580	8330	4993	10244	5411	6800	6881	5842	6540	7415	5391	12153	6760	6941	8360	13138	5165	15759	19129	8318	7477	27671	5601	6188	6621	6372	14808	5553	7451	17591	6466	6563	10374	7740	4578	6422	6069	6131	3908	6390	9246	12091
