Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
15-033_R1_001_val_1_val_1	15-033_R1_001_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45732424.0	0.0	20-150	43.0	18.91374790340785	142.19270297152846	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-033_R2_001_val_2_val_2	15-033_R2_001_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45732424.0	0.0	20-150	43.0	19.397709276731973	141.55462179306306	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
15-091_R1_001_val_1_val_1	15-091_R1_001_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42886432.0	0.0	20-150	42.0	21.26318888306487	136.99492074789526	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-091_R2_001_val_2_val_2	15-091_R2_001_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42886432.0	0.0	20-150	42.0	20.741929642478706	136.1645512501483	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
15-092_R1_001_val_1_val_1	15-092_R1_001_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48210434.0	0.0	20-150	43.0	21.200898957795655	132.43422405199672	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-092_R2_001_val_2_val_2	15-092_R2_001_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48210434.0	0.0	20-150	43.0	20.55205628757488	131.8494711539	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
15-152_R1_001_val_1_val_1	15-152_R1_001_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31739055.0	0.0	20-150	43.0	21.801804354741034	139.77195266210666	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-152_R2_001_val_2_val_2	15-152_R2_001_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31739055.0	0.0	20-150	43.0	22.87400537871276	138.5924832670664	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
15-154_R1_001_val_1_val_1	15-154_R1_001_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48838406.0	0.0	20-150	42.0	20.101069593981364	139.5310187846835	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
15-154_R2_001_val_2_val_2	15-154_R2_001_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48838406.0	0.0	20-150	42.0	19.199893771677697	138.78453729632372	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
